asin,brand,type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Label
B092MZ6X28,Hanes,SWEATSHIRT,0.9958159,0.957142857,0.988586479,0.98401421,1.020758123,1.247568523,1.008504607,0.957835559,1.006603081,1.003644315,1.01016703,0.790797987,1,1,1.241818182,0.805270864,,,,,up
B092NKY9HF,Hanes,SWEATSHIRT,0.929085303,0.994469027,1.695216908,1.17191601,0.953527436,0.957134469,0.998773006,0.9502457,0.996767938,0.924773022,0.771388499,1.160909091,0.999216915,0.862068966,1.159090909,,,,,,up
B07KGQDKB5,Hanes,SWEATSHIRT,0.963028169,1.429616088,1.038363171,0.95320197,0.949612403,0.968707483,1.310393258,1.005359057,0.997867804,0.998931624,0.997860963,0.997856377,1.002148228,1.003215434,1.001068376,1.001067236,1.004264392,1.001061571,1.003181336,0.998942918,up
B07KGTKY9Q,Hanes,SWEATSHIRT,0.982019364,0.995774648,0.984441301,0.992816092,0.986975398,0.98973607,1.447407407,1.026612078,0.928215354,1.133190118,0.996208531,0.885823026,0.949516649,0.950226244,0.95,1.317042607,0.997145576,0.959923664,0.889662028,1.042458101,up
B07KGQ9G46,Hanes,SWEATSHIRT,0.985530547,0.993474715,1.228243021,0.909090909,0.95,0.996904025,1.004658385,1.00309119,1.003081664,1.038402458,1.594674556,1.023191095,1.018132366,0.601959038,1.661242604,0.997328584,0.970535714,0.95124195,0.949709865,0.990835031,up
B07KGRRP75,Hanes,SWEATSHIRT,0.821888412,1.001305483,0.998696219,0.950391645,0.957417582,1.004304161,0.998571429,1.341917024,0.997867804,0.995726496,0.996781116,0.997847147,0.995685005,1.004333694,0.996763754,1.001082251,1.001081081,1.012958963,1.003198294,1.002125399,up
B071ZJJG23,Hanes,SWEATSHIRT,1,1,0.48,1.458333333,1,1.428571429,1.310833333,1.017164654,0.87625,0.855920114,1.168333333,1.019971469,0.993006993,0.984507042,0.992131617,0.981975487,0.975770925,0.992475546,0.992418499,0.984721161,up
B01L8JJLM4,Hanes,SWEATSHIRT,1.49875,0.8882402,1.094835681,0.867066895,0.988130564,0.97997998,1.020429009,1.017017017,0.983267717,0.938938939,1.248400853,0.969257045,1.031718062,0.830059778,1.20473251,0.969257045,0.826431718,1.065031983,1.001001001,0.999,up
B073X2NNNV,Hanes,SWEATSHIRT,1,0.7,1,1.428571429,1,1,1,1,1.262,1.009508716,0.999215071,1.000785546,1.017268446,0.875771605,1.03876652,0.848176421,1.179,0.848176421,1.179,1.039864292,up
B07TPQ56F1,Hanes,SWEATSHIRT,1.471764706,0.988009592,1.101941748,0.80763583,0.999090909,0.909008189,1,1.101101101,1,0.908181818,1,0.78978979,1,1,1,1.266159696,1,1,1,1,up
B072MRPK9V,Hanes,SWEATSHIRT,1,1,1,0.706748466,0.991319444,1,1,1.42732049,0.979141104,0.984962406,1.036895674,1,1,1,1,1,1,1,1.364417178,1.008992806,up
B07B6RZP4H,KATCHY,PEST_CONTROL_DEVICE,1.052924054,1,1,1.000251319,0.999748744,1.000251319,1,0.999748744,1,1,1.000251319,1,1,1,1,1.003015075,0.999749499,0.996993235,1.003015833,0.996993235,up
B002PXW1R0,National Geographic Partners LLC,MAGAZINES,0.6,1.666666667,0.6,1.666666667,0.6,0.75,1.333333333,1.666666667,0.6,1.666666667,0.6,1.666666667,0.45,2.222222222,0.6,0.75,1.333333333,1.666666667,0.6,1.666666667,same
